pattern_id,domain,role_mask,support_set_size_L40,class_id,class_name,coefficient_shape_spectrum,max_arity,contains_empty_signature
1,Zs,"000",1,1,E,"E",0,true
2,Zs,"111",342,2,Zs-A,"-2,1;1,-2,1",3,false
3,Pt,"000",1,1,E,"E",0,true
4,Pt,"001",39,3,P-O,"1;E",1,true
5,Pt,"110",399,4,Pt-M,"-2;1,-2",2,false
6,Pt,"111",210,5,P-A,"-2;1,-2;1,1,-2;2,-2",3,false
7,Mt,"000",1,1,E,"E",0,true
8,Mt,"011",399,6,Mt-M,"-2,1;1",2,false
9,Mt,"100",39,7,M-O,"1",1,false
10,Mt,"111",210,8,M-A,"-2,1,1;-2,2;1,1;2",3,false
11,Z,"000",1,1,E,"E",0,true
12,Z,"001",40,9,Z-O,"1;E",1,true
13,Z,"010",40,10,Z-C,"-2;E",1,true
14,Z,"011",800,11,Z-M,"-1;-2;-2,1;1,-2;E",2,true
15,Z,"100",40,9,Z-O,"1;E",1,true
16,Z,"101",420,12,Z-OO,"1;1,1;2;E",2,true
17,Z,"110",800,11,Z-M,"-1;-2;-2,1;1,-2;E",2,true
18,Z,"111",381,13,Z-A,"-2,1;1,-2,1;E",3,true
19,P,"000",1,1,E,"E",0,true
20,P,"001",39,3,P-O,"1;E",1,true
21,P,"010",20,14,P-C,"-2",1,false
22,P,"011",400,15,P-M,"-2;1,-2",2,false
23,P,"100",39,3,P-O,"1;E",1,true
24,P,"101",210,16,P-OO,"1;1,1;2;E",2,true
25,P,"110",400,15,P-M,"-2;1,-2",2,false
26,P,"111",210,5,P-A,"-2;1,-2;1,1,-2;2,-2",3,false
27,M,"000",1,1,E,"E",0,true
28,M,"001",39,7,M-O,"1",1,false
29,M,"010",20,17,M-C,"-2;E",1,true
30,M,"011",400,18,M-M,"-2,1;1",2,false
31,M,"100",39,7,M-O,"1",1,false
32,M,"101",210,19,M-OO,"1,1;2",2,false
33,M,"110",400,18,M-M,"-2,1;1",2,false
34,M,"111",210,8,M-A,"-2,1,1;-2,2;1,1;2",3,false
