family_A,family_B,same_cardinality_all_L,distinguishing_invariant
E,Zs-A,false,"contains empty signature"
E,Z-O,false,"cardinality"
E,Z-C,false,"cardinality"
E,Z-M,false,"cardinality"
E,Z-OO,false,"cardinality"
E,Z-A,false,"cardinality"
E,P-O,false,"cardinality"
E,P-C,false,"cardinality"
E,P-M,false,"cardinality"
E,P-OO,false,"cardinality"
E,P-A,false,"cardinality"
E,Pt-M,false,"cardinality"
E,M-O,false,"cardinality"
E,M-C,false,"cardinality"
E,M-M,false,"cardinality"
E,M-OO,false,"cardinality"
E,M-A,false,"cardinality"
E,Mt-M,false,"cardinality"
Zs-A,Z-O,false,"contains empty signature"
Zs-A,Z-C,false,"contains empty signature"
Zs-A,Z-M,false,"cardinality"
Zs-A,Z-OO,false,"cardinality"
Zs-A,Z-A,false,"cardinality"
Zs-A,P-O,false,"cardinality"
Zs-A,P-C,false,"cardinality"
Zs-A,P-M,false,"cardinality"
Zs-A,P-OO,false,"cardinality"
Zs-A,P-A,false,"cardinality"
Zs-A,Pt-M,false,"cardinality"
Zs-A,M-O,false,"cardinality"
Zs-A,M-C,false,"cardinality"
Zs-A,M-M,false,"cardinality"
Zs-A,M-OO,false,"cardinality"
Zs-A,M-A,false,"cardinality"
Zs-A,Mt-M,false,"cardinality"
Z-O,Z-C,true,"has unary +1"
Z-O,Z-M,false,"cardinality"
Z-O,Z-OO,false,"cardinality"
Z-O,Z-A,false,"max arity"
Z-O,P-O,false,"cardinality"
Z-O,P-C,false,"cardinality"
Z-O,P-M,false,"cardinality"
Z-O,P-OO,false,"max arity"
Z-O,P-A,false,"contains empty signature"
Z-O,Pt-M,false,"contains empty signature"
Z-O,M-O,false,"cardinality"
Z-O,M-C,false,"cardinality"
Z-O,M-M,false,"cardinality"
Z-O,M-OO,false,"contains empty signature"
Z-O,M-A,false,"contains empty signature"
Z-O,Mt-M,false,"contains empty signature"
Z-C,Z-M,false,"cardinality"
Z-C,Z-OO,false,"cardinality"
Z-C,Z-A,false,"max arity"
Z-C,P-O,false,"cardinality"
Z-C,P-C,false,"cardinality"
Z-C,P-M,false,"cardinality"
Z-C,P-OO,false,"max arity"
Z-C,P-A,false,"contains empty signature"
Z-C,Pt-M,false,"contains empty signature"
Z-C,M-O,false,"cardinality"
Z-C,M-C,false,"cardinality"
Z-C,M-M,false,"cardinality"
Z-C,M-OO,false,"contains empty signature"
Z-C,M-A,false,"contains empty signature"
Z-C,Mt-M,false,"contains empty signature"
Z-M,Z-OO,false,"cardinality"
Z-M,Z-A,false,"cardinality"
Z-M,P-O,false,"cardinality"
Z-M,P-C,false,"cardinality"
Z-M,P-M,false,"cardinality"
Z-M,P-OO,false,"cardinality"
Z-M,P-A,false,"cardinality"
Z-M,Pt-M,false,"cardinality"
Z-M,M-O,false,"cardinality"
Z-M,M-C,false,"cardinality"
Z-M,M-M,false,"cardinality"
Z-M,M-OO,false,"cardinality"
Z-M,M-A,false,"cardinality"
Z-M,Mt-M,false,"cardinality"
Z-OO,Z-A,false,"cardinality"
Z-OO,P-O,false,"cardinality"
Z-OO,P-C,false,"cardinality"
Z-OO,P-M,false,"cardinality"
Z-OO,P-OO,false,"cardinality"
