population,eIndex,E_sha,asetSize,trials,atQuota,afPositive,AFE,AF_AND_AFE,P40,unresolved
RX,0,933c0dee15dd32a3,129911,5000,true,4,0,0,0,0
RX,1,c5506da45232262b,0,0,false,0,0,0,0,0
RX,2,78b931d493fa7c77,11,11,false,1,0,0,0,0
RX,3,55fba47495bbc5f1,0,0,false,0,0,0,0,0
RX,4,9af5d597cf22cb18,0,0,false,0,0,0,0,0
RX,5,7db02ed72cb33a1e,4065,4065,false,0,0,0,0,0
RX,6,51fd9dbe6886e359,1927,1927,false,0,0,0,0,0
RX,7,e91090b576714d66,7970,5000,true,0,0,0,0,0
RX,8,8ebb128d16a42b63,0,0,false,0,0,0,0,0
RX,9,e9e746eac90a3329,0,0,false,0,0,0,0,0
RX,10,562c6a11ca517018,1491,1491,false,0,0,0,0,0
RX,11,3e4f12738a9e1b8c,14822,5000,true,2,0,0,0,0
RX,12,9d2f56443248130b,5064,5000,true,11,0,0,0,0
RX,13,d06e3efb6534f4cd,13,13,false,0,0,0,0,0
RX,14,12c64f1d5e526fa4,98,98,false,0,0,0,0,0
RX,15,ce57c1e4d13298d7,0,0,false,0,0,0,0,0
RX,16,784160adb6796dd5,0,0,false,0,0,0,0,0
RX,17,07b7fa26c2a77f0e,2475,2475,false,1,0,0,0,0
RX,18,dcfafc85d2b79a7a,4,4,false,0,0,0,0,0
RX,19,42cd7d58aa4555a7,1522,1522,false,2,0,0,0,0
RX,20,0c7fdabf66d58dcb,0,0,false,0,0,0,0,0
RX,21,97a3935b0f4f4475,0,0,false,0,0,0,0,0
RX,22,e2e24409a6d8875a,7291,5000,true,5,0,0,0,0
RX,23,66c5b748009a1ef8,0,0,false,0,0,0,0,0
RX,24,63ff2611e92cb64a,0,0,false,0,0,0,0,0
RX,25,2f1fb11e6a92dac6,41,41,false,0,0,0,0,0
RX,26,076970b2cd35a731,0,0,false,0,0,0,0,0
RX,27,a686963d684b952d,6053,5000,true,5,0,0,0,0
RX,28,2f07cd8ad269f404,31865,5000,true,0,0,0,0,0
RX,29,ba6c36cc7e9efcdf,0,0,false,0,0,0,0,0
RX,30,d958dded1994fdcc,30,30,false,0,0,0,0,0
RX,31,931bf12deb935f15,8376,5000,true,1,0,0,0,0
RX,32,28c6dce3a2467655,2097,2097,false,0,0,0,0,0
RX,33,11d824bedfbf5e22,6,6,false,1,0,0,0,0
RX,34,bc027520114e88ac,1258,1258,false,2,0,0,0,0
RX,35,37232a4320c321db,0,0,false,0,0,0,0,0
RX,36,ac1345e3a6a0dfdf,712,712,false,6,0,0,0,0
RX,37,9d5446717bb17391,12,12,false,0,0,0,0,0
RX,38,63b8df81a580e9cd,0,0,false,0,0,0,0,0
RX,39,35381f3e7d33d03c,12,12,false,0,0,0,0,0
RX,40,4fc190db56246099,0,0,false,0,0,0,0,0
RX,41,ee2ec6d424be6529,0,0,false,0,0,0,0,0
RX,42,9e4bbd58dc17c367,586,586,false,0,0,0,0,0
RX,43,85002405208a23ce,0,0,false,0,0,0,0,0
RX,44,27b3b1631588dcbd,1318,1318,false,8,0,0,0,0
RX,45,67d4c97e3733a2fa,0,0,false,0,0,0,0,0
RX,46,d0fe3e67528b71c8,1470,1470,false,0,0,0,0,0
RX,47,6c0a03aaf7f57678,2611,2611,false,35,0,0,0,0
RX,48,aa0a5e18e16b3d9c,239,239,false,18,0,0,0,0
RX,49,a1a34dd21d2fb6a5,0,0,false,0,0,0,0,0
RX,50,5ac34c38e94d9cc5,0,0,false,0,0,0,0,0
RX,51,a34731e7278ba96f,9610,5000,true,1,0,0,0,0
RX,52,fb33d7737e473462,0,0,false,0,0,0,0,0
RX,53,526dc945aa1b49c3,342,342,false,0,0,0,0,0
RX,54,fb463fa786811dc9,15837,5000,true,34,0,0,0,0
RX,55,b7670f0299779209,2760,2760,false,0,0,0,0,0
RX,56,28195b59545bd459,2,2,false,0,0,0,0,0
RX,57,af38501849f61cdf,0,0,false,0,0,0,0,0
RX,58,19fb46aa4f84d6c9,9,9,false,0,0,0,0,0
RX,59,83e3e3945f199c17,0,0,false,0,0,0,0,0
H,0,bbbbf8344484b388,,5000,true,32,16,10,10,0
H,1,9c4fdf00facdbbc2,,5000,true,32,16,10,10,0
H,2,6928cbc8f9892669,,201,false,12,7,7,2,0
H,3,ace3c9297a31653a,,1435,false,12,7,7,2,0
H,4,ab152988deea9d99,,5000,true,6,4,4,4,0
H,5,8302b3d44bc71de8,,5000,true,8,0,0,0,0
H,6,286e569e7a8de94b,,3289,false,61,8,2,2,0
H,7,e60344fc2913d994,,3513,false,50,14,2,2,0
H,8,6c03f4a51dab4ab1,,3337,false,50,14,2,2,0
