lag,target_position_r,post_target_distance_d,K_lower,K_actual_diagnostic,partition_cells
9,0,2,0.07552688964381749,0.07552688964381749,22
9,1,3,0.0132129,0.013536622559934874,39
9,2,4,0.005144,0.005144,47
9,3,5,0.026160590640947223,0.02645968281412886,51
9,4,6,0.005862,0.006566,51
9,5,7,0.014555,0.014957,51
9,6,8,0.005341,0.005862,51
9,7,9,-0.006912,-0.006332,51
10,0,3,0.10013332542305065,0.10013332542305065,33
10,1,4,-0.000191,-0.000191,48
10,2,5,0.021736,0.021914,51
10,3,6,0.004068,0.004431,51
10,4,7,0.01262,0.012905,51
10,5,8,0.015409,0.015684,51
10,6,9,0.00376,0.004131,51
10,7,10,-0.004769,-0.004312,51
