('a', 'f', 'e', (1, 0, 0, 1, -3, 3))
('a', 'a', 'e', (2, 0, 0, 2, 1, 4))
('e', 'a', 'a', (-1, 0, 0, -4, 1, 1))
('f', 'd', 'f', (1, 0, 0, 2, 5, 1))
('d', 'e', 'e', (0, 0, 0, 3, -2, 2))
('d', 'e', 'e', (0, 0, 0, 3, -1, 2))
('e', 'a', 'e', (0, 0, 0, -2, -4, 0))
('b', 'a', 'a', (0, 0, 0, 3, -2, 0))
('b', 'a', 'a', (0, 0, 0, 3, -1, 0))
('b', 'f', 'd', (2, 0, 0, 2, -2, 2))
('b', 'f', 'd', (2, 0, 0, 2, -1, 2))
('e', 'a', 'e', (0, 0, 0, -1, -4, 0))
('a', 'b', 'd', (1, 0, 0, 3, 5, 1))
('f', 'f', 'c', (1, 0, 0, 3, -2, 3))
('f', 'f', 'c', (1, 0, 0, 3, -1, 3))
('c', 'c', 'a', (0, 0, 0, -3, -2, 1))
('c', 'c', 'a', (0, 0, 0, -3, -1, 1))
('c', 'f', 'd', (1, 0, 0, 2, 4, 2))
('e', 'a', 'a', (0, 0, 0, 1, 1, 1))
('b', 'a', 'a', (-2, 0, 0, -4, -5, -2))
('b', 'a', 'a', (-2, 0, 0, -4, -5, -1))
('b', 'a', 'a', (-1, 0, 0, -4, -5, -2))
('b', 'a', 'a', (-1, 0, 0, -4, -5, -1))
('d', 'f', 'c', (1, 0, 0, -2, 5, 3))
('d', 'f', 'c', (1, 0, 0, -1, 5, 3))
('f', 'f', 'f', (1, 0, 0, 1, 2, 2))
('f', 'f', 'c', (0, 0, 0, -4, 3, 1))
('f', 'f', 'd', (0, 0, 0, 0, 4, 1))
('d', 'f', 'e', (-1, 0, 0, -2, 0, 1))
('d', 'f', 'e', (-1, 0, 0, -1, 0, 1))
('a', 'b', 'd', (1, 0, 0, 4, 4, 2))
('a', 'd', 'd', (0, 0, 0, -3, -2, 0))
('a', 'd', 'd', (0, 0, 0, -3, -1, 0))
('f', 'd', 'd', (1, 0, 0, -3, 4, 2))
('c', 'e', 'f', (-1, 0, 0, 1, -4, -3))
('c', 'e', 'f', (-2, 0, 0, 1, -4, -3))
('e', 'a', 'a', (1, 0, 0, -3, 0, 1))
('b', 'e', 'e', (-1, 0, 0, -2, -4, 1))
('b', 'e', 'e', (-1, 0, 0, -1, -4, 1))
('f', 'd', 'd', (0, 0, 0, 2, -2, -2))
('f', 'd', 'd', (0, 0, 0, 2, -2, -1))
('f', 'd', 'd', (0, 0, 0, 2, -1, -2))
('f', 'd', 'd', (0, 0, 0, 2, -1, -1))
('f', 'e', 'e', (2, 0, 0, 1, 0, 1))
('e', 'e', 'f', (0, 0, 0, -3, 4, 0))
('f', 'f', 'a', (2, 0, 0, 4, 6, 2))
('d', 'f', 'b', (-1, 0, 0, -4, 0, -3))
('f', 'a', 'a', (0, 0, 0, -2, 3, 0))
('f', 'a', 'a', (0, 0, 0, -1, 3, 0))
('a', 'f', 'b', (1, 0, 0, 2, 0, 3))
('c', 'f', 'b', (-1, 0, 0, 2, 1, 0))
('f', 'b', 'b', (0, 0, 0, 4, 1, 2))
('e', 'd', 'a', (0, 0, 0, 3, 0, 2))
('d', 'a', 'b', (0, 0, 0, -3, 2, 2))
('b', 'f', 'b', (1, 0, 0, 2, 4, 0))
('c', 'a', 'e', (-1, 0, 0, 0, -4, -3))
('e', 'a', 'a', (0, 0, 0, -2, 3, -2))
('e', 'a', 'a', (0, 0, 0, -2, 3, -1))
('e', 'a', 'a', (0, 0, 0, -1, 3, -2))
('e', 'a', 'a', (0, 0, 0, -1, 3, -1))
