library,Kmax,raw_states,one_step_profile_response_types,profile_refinement_history,exact_profile_state_classes,exact_total_count_classes,exact_unary_krylov_rank
BAL3_L4_AA2FR,2,18,12,12 -> 15,15,3,3
BAL3_L4_AA2FR,3,78,12,12 -> 21,21,4,3
BAL3_L4_AA2FR,4,78,16,16,16,5,3
BAL3_L4_AA2FR,5,162,16,16 -> 40 -> 46,46,9,5
BAL3_L4_AA2FR,6,210,19,19 -> 76 -> 91,91,16,7
ALL_L4_AA2FR,2,27,18,18,18,4,4
ALL_L4_AA2FR,3,186,78,78,78,13,13
ALL_L4_AA2FR,4,474,174,174 -> 186,186,31,29
ALL_L4_AA2FR,5,1788,319,319 -> 433,433,73,53
ALL_L4_AA2FR,6,3402,575,575 -> 907,907,152,97
INTERIOR_L5_AA2FR,5,438,133,133 -> 193,193,34,27
HASH30_L4_AA2FR,2,18,16,16,16,16,13
HASH30_L4_AA2FR,3,79,30,30 -> 32,32,32,29
HASH30_L4_AA2FR,4,130,50,50 -> 54,54,54,38
HASH30_L4_AA2FR,5,323,58,58 -> 75 -> 76,76,76,47
