library,Kmax,block_count,raw_states,right_context_classes,equitable_classes,count_classes,count_prefix_horizon,count_prefix_class_history,krylov_rank_exact,scalar_hankel_rank_exact
BAL3_L4_AA2FR,2,30,18,15,3,3,1,"[1, 3]",3,2
BAL3_L4_AA2FR,3,30,78,21,4,4,2,"[1, 3, 4]",4,3
BAL3_L4_AA2FR,4,30,78,19,5,5,1,"[1, 5]",3,3
BAL3_L4_AA2FR,5,30,162,46,9,9,3,"[1, 5, 7, 9]",4,4
BAL3_L4_AA2FR,6,30,210,91,16,16,6,"[1, 5, 11, 13, 15, 15, 16]",7,6
ALL_L4_AA2FR,2,60,27,18,4,4,1,"[1, 4]",4,4
ALL_L4_AA2FR,3,60,186,78,13,13,2,"[1, 9, 13]",13,13
ALL_L4_AA2FR,4,60,474,186,31,31,2,"[1, 14, 31]",29,29
ALL_L4_AA2FR,5,60,1788,433,73,73,3,"[1, 19, 71, 73]",53,53
ALL_L4_AA2FR,6,60,3402,907,152,152,3,"[1, 21, 128, 152]",97,97
ALL_L5_AA2FR,2,126,27,18,4,4,1,"[1, 4]",4,4
ALL_L5_AA2FR,3,126,126,78,13,13,2,"[1, 12, 13]",13,13
ALL_L5_AA2FR,4,126,540,186,31,31,2,"[1, 17, 31]",29,29
ALL_L6_AA2FR,2,234,27,18,4,4,1,"[1, 4]",4,4
ALL_L6_AA2FR,3,234,126,78,13,13,2,"[1, 11, 13]",13,13
ALL_L6_AA2FR,4,234,648,186,31,31,2,"[1, 25, 31]",29,29
INTERIOR_L5_AA2FR,2,90,27,18,4,4,1,"[1, 4]",4,3
INTERIOR_L5_AA2FR,3,90,90,60,10,10,2,"[1, 8, 10]",9,8
INTERIOR_L5_AA2FR,4,90,312,106,20,20,2,"[1, 13, 20]",18,18
INTERIOR_L5_AA2FR,5,90,438,193,34,34,3,"[1, 13, 32, 34]",27,27
