mode,L,Kmax,block_count,states,edges,spectral_radius,normalized_root_upper_bound,A_1,A_2,A_3,A_4,A_5,A_6
aa2f,4,2,66,27,663,36.095318587629144,0.5468987664792294,66,2382,85974,3103266,112013388,4043158926
aa2f,4,3,66,228,5574,24.676675927492624,0.3738890292044337,66,1728,42942,1057992,26107968,644278746
aa2f,4,4,66,852,14502,18.24127085720843,0.2763828917758853,66,1572,26892,499092,9057774,165488952
aa2f,4,5,66,4596,63660,14.28658737824035,0.2164634451248538,66,1572,21390,309996,4401318,62961462
aa2f,4,6,66,12426,147924,11.671368711808453,0.17683891987588565,66,1572,20454,238548,2759526,32264706
aa2fr,4,2,60,27,507,20.329827893239763,0.3388304648873294,60,1200,24360,495192,10067136,204663144
aa2fr,4,3,60,186,2130,11.809839175298235,0.19683065292163723,60,744,8988,105786,1248522,14747166
aa2fr,4,4,60,474,3924,9.08912093955979,0.15148534899266317,60,696,5604,53490,477816,4363158
aa2fr,4,5,60,1788,12354,7.279099471764232,0.12131832452940386,60,696,4554,34830,247836,1818558
aa2fr,4,6,60,3402,20292,5.6443395659587186,0.09407232609931197,60,696,4350,24648,134466,766080
