TargetState,target_q_a,target_q_b,target_q_c,target_q_d,target_x,target_y,source_block_h,target_x_offset_r,source_block_k,target_y_offset_t,SourceState,source_q_a,source_q_b,source_q_c,source_q_d
Q08,0,-1,1,0,b,c,d,81,a,4,Q12,0,0,0,-1
Q09,0,0,-1,0,c,b,d,78,b,84,Q27,0,1,0,-1
Q11,0,0,-1,1,c,d,b,7,d,26,Q29,0,1,0,0
Q11,0,0,-1,1,c,d,d,78,b,83,Q27,0,1,0,-1
Q12,0,0,0,-1,d,a,b,75,b,78,Q16,0,0,0,0
Q13,0,0,0,-1,d,b,b,83,c,9,Q06,0,-1,0,0
Q14,0,0,0,-1,d,c,c,79,b,1,Q09,0,0,-1,0
Q27,0,1,0,-1,d,b,b,68,b,63,Q16,0,0,0,0
Q27,0,1,0,-1,d,b,b,75,b,77,Q16,0,0,0,0
Q27,0,1,0,-1,d,b,c,79,b,0,Q09,0,0,-1,0
Q28,0,1,0,0,b,b,b,84,c,9,Q06,0,-1,0,0
Q29,0,1,0,0,b,d,b,69,b,64,Q16,0,0,0,0
Q30,1,-1,0,0,b,a,c,74,c,75,Q17,0,0,0,0
Q32,1,0,0,-1,d,a,b,83,c,8,Q06,0,-1,0,0
Q33,1,0,0,0,a,b,c,75,c,76,Q17,0,0,0,0
Q33,1,0,0,0,a,b,d,79,b,84,Q27,0,1,0,-1
Q35,1,0,0,0,a,d,d,82,a,5,Q12,0,0,0,-1
