StateID,q_a,q_b,q_c,q_d,x,y,sum_q
Q01,-1,0,0,0,a,b,-1
Q02,-1,0,0,0,a,d,-1
Q03,-1,0,0,1,a,d,0
Q04,-1,0,1,0,a,c,0
Q05,-1,1,0,0,a,b,0
Q06,0,-1,0,0,b,c,-1
Q07,0,-1,0,1,b,d,0
Q08,0,-1,1,0,b,c,0
Q09,0,0,-1,0,c,b,-1
Q10,0,0,-1,0,c,d,-1
Q11,0,0,-1,1,c,d,0
Q12,0,0,0,-1,d,a,-1
Q13,0,0,0,-1,d,b,-1
Q14,0,0,0,-1,d,c,-1
Q15,0,0,0,0,a,a,0
Q16,0,0,0,0,b,b,0
Q17,0,0,0,0,c,c,0
Q18,0,0,0,0,d,d,0
Q19,0,0,0,1,d,b,1
Q20,0,0,0,1,d,d,1
Q21,0,0,1,-1,d,c,0
Q22,0,0,1,0,c,a,1
Q23,0,0,1,0,c,b,1
Q24,0,0,1,0,c,c,1
Q25,0,0,1,0,c,d,1
Q26,0,1,-1,0,c,b,0
Q27,0,1,0,-1,d,b,0
Q28,0,1,0,0,b,b,1
Q29,0,1,0,0,b,d,1
Q30,1,-1,0,0,b,a,0
Q31,1,0,-1,0,c,a,0
Q32,1,0,0,-1,d,a,0
Q33,1,0,0,0,a,b,1
Q34,1,0,0,0,a,c,1
Q35,1,0,0,0,a,d,1
