ID,dW_a,dW_b,dW_c,dW_d,c_mid,c_end
S0,0,1,0,0,b,d
S1,0,0,0,0,b,b
S2,0,-1,0,0,b,c
S3,0,0,0,0,c,c
S4,0,0,-1,0,c,b
S5,0,1,0,-1,d,b
S6,0,0,0,-1,d,a
S7,1,0,0,0,a,c
S8,-1,1,0,0,a,b
S9,-1,0,0,0,a,d
S10,0,0,1,0,c,c
S11,0,1,-1,0,c,b
S12,1,0,0,-1,d,a
S13,0,0,0,0,a,a
S14,1,-1,0,0,b,a
S15,1,0,-1,0,c,a
S16,0,0,-1,0,c,d
S17,-1,0,1,0,a,c
S18,-1,0,0,1,a,d
S19,0,-1,1,0,b,c
S20,0,-1,0,1,b,d
S21,0,0,1,0,c,a
S22,0,0,-1,1,c,d
S23,0,0,0,1,d,b
S24,0,0,1,-1,d,c
S25,0,0,0,0,d,d
S26,-1,0,0,0,a,b
S27,0,0,0,-1,d,c
S28,1,0,0,0,a,b
S29,1,0,0,0,a,d
S30,0,1,0,0,b,b
S31,0,0,1,0,c,b
S32,0,0,1,0,c,d
S33,0,0,0,1,d,d
S34,0,0,0,-1,d,b
S35,1,1,-1,0,a,b
