TargetID,c_mid,o_mid,c_end,o_end,SourceID,Source_dW_a,Source_dW_b,Source_dW_c,Source_dW_d
ABELIAN_SQUARE,b,8,d,27,S0,0,1,0,0
ABELIAN_SQUARE,b,69,b,64,S1,0,0,0,0
ABELIAN_SQUARE,b,76,b,78,S1,0,0,0,0
ABELIAN_SQUARE,b,84,c,9,S2,0,-1,0,0
ABELIAN_SQUARE,c,75,c,76,S3,0,0,0,0
ABELIAN_SQUARE,c,80,b,1,S4,0,0,-1,0
ABELIAN_SQUARE,d,79,b,84,S5,0,1,0,-1
ABELIAN_SQUARE,d,82,a,5,S6,0,0,0,-1
ABELIAN_SQUARE,a,6,c,22,S7,1,0,0,0
ABELIAN_SQUARE,a,77,b,79,S8,-1,1,0,0
ABELIAN_SQUARE,a,82,d,4,S9,-1,0,0,0
ABELIAN_SQUARE,b,77,b,79,S1,0,0,0,0
ABELIAN_SQUARE,b,84,c,8,S2,0,-1,0,0
ABELIAN_SQUARE,c,6,c,22,S10,0,0,1,0
ABELIAN_SQUARE,c,75,c,75,S3,0,0,0,0
ABELIAN_SQUARE,c,77,b,79,S11,0,1,-1,0
ABELIAN_SQUARE,d,77,b,79,S5,0,1,0,-1
ABELIAN_SQUARE,d,78,a,81,S12,1,0,0,-1
ABELIAN_SQUARE,a,1,c,11,S7,1,0,0,0
ABELIAN_SQUARE,a,77,a,78,S13,0,0,0,0
ABELIAN_SQUARE,a,83,d,5,S9,-1,0,0,0
ABELIAN_SQUARE,b,76,b,76,S1,0,0,0,0
ABELIAN_SQUARE,b,77,a,78,S14,1,-1,0,0
ABELIAN_SQUARE,c,75,c,74,S3,0,0,0,0
ABELIAN_SQUARE,c,77,a,78,S15,1,0,-1,0
ABELIAN_SQUARE,c,80,a,84,S15,1,0,-1,0
ABELIAN_SQUARE,c,83,d,5,S16,0,0,-1,0
ABELIAN_SQUARE,d,77,a,78,S12,1,0,0,-1
ABELIAN_SQUARE,a,1,c,10,S7,1,0,0,0
ABELIAN_SQUARE,a,77,a,77,S13,0,0,0,0
ABELIAN_SQUARE,a,77,b,77,S8,-1,1,0,0
ABELIAN_SQUARE,a,77,c,77,S17,-1,0,1,0
ABELIAN_SQUARE,a,77,d,77,S18,-1,0,0,1
ABELIAN_SQUARE,b,1,d,10,S0,0,1,0,0
ABELIAN_SQUARE,b,77,a,77,S14,1,-1,0,0
ABELIAN_SQUARE,b,77,b,77,S1,0,0,0,0
