start_i,mid_block_x,mid_offset_r,end_block_y,end_offset_t,q_a,q_b,q_c,q_d,StateID
0,b,8,d,27,0,1,0,0,Q29
0,b,69,b,64,0,0,0,0,Q16
0,b,76,b,78,0,0,0,0,Q16
0,b,84,c,9,0,-1,0,0,Q06
0,c,75,c,76,0,0,0,0,Q17
0,c,80,b,1,0,0,-1,0,Q09
0,d,79,b,84,0,1,0,-1,Q27
0,d,82,a,5,0,0,0,-1,Q12
1,a,6,c,22,1,0,0,0,Q34
1,a,77,b,79,-1,1,0,0,Q05
1,a,82,d,4,-1,0,0,0,Q02
1,b,77,b,79,0,0,0,0,Q16
1,b,84,c,8,0,-1,0,0,Q06
1,c,6,c,22,0,0,1,0,Q24
1,c,75,c,75,0,0,0,0,Q17
1,c,77,b,79,0,1,-1,0,Q26
1,d,77,b,79,0,1,0,-1,Q27
1,d,78,a,81,1,0,0,-1,Q32
2,a,1,c,11,1,0,0,0,Q34
2,a,77,a,78,0,0,0,0,Q15
2,a,83,d,5,-1,0,0,0,Q02
2,b,76,b,76,0,0,0,0,Q16
2,b,77,a,78,1,-1,0,0,Q30
2,c,75,c,74,0,0,0,0,Q17
2,c,77,a,78,1,0,-1,0,Q31
2,c,80,a,84,1,0,-1,0,Q31
2,c,83,d,5,0,0,-1,0,Q10
2,d,77,a,78,1,0,0,-1,Q32
3,a,1,c,10,1,0,0,0,Q34
3,a,77,a,77,0,0,0,0,Q15
3,a,77,b,77,-1,1,0,0,Q05
3,a,77,c,77,-1,0,1,0,Q04
3,a,77,d,77,-1,0,0,1,Q03
3,b,1,d,10,0,1,0,0,Q29
3,b,77,a,77,1,-1,0,0,Q30
3,b,77,b,77,0,0,0,0,Q16
3,b,77,c,77,0,-1,1,0,Q08
3,b,77,d,77,0,-1,0,1,Q07
3,c,1,a,10,0,0,1,0,Q22
3,c,77,a,77,1,0,-1,0,Q31
3,c,77,b,77,0,1,-1,0,Q26
3,c,77,c,77,0,0,0,0,Q17
3,c,77,d,77,0,0,-1,1,Q11
3,d,1,b,10,0,0,0,1,Q19
3,d,77,a,77,1,0,0,-1,Q32
3,d,77,b,77,0,1,0,-1,Q27
3,d,77,c,77,0,0,1,-1,Q21
3,d,77,d,77,0,0,0,0,Q18
4,a,4,c,15,1,0,0,0,Q34
4,a,76,a,74,0,0,0,0,Q15
4,a,77,d,76,-1,0,0,1,Q03
4,a,84,b,5,-1,0,0,0,Q01
4,b,1,d,9,0,1,0,0,Q29
4,b,75,b,72,0,0,0,0,Q16
4,b,77,d,76,0,-1,0,1,Q07
4,c,77,d,76,0,0,-1,1,Q11
4,c,78,c,78,0,0,0,0,Q17
4,d,77,d,76,0,0,0,0,Q18
4,d,82,c,1,0,0,0,-1,Q14
5,a,0,b,6,1,0,0,0,Q33
5,a,0,d,6,1,0,0,0,Q35
5,a,72,a,65,0,0,0,0,Q15
5,b,0,b,6,0,1,0,0,Q28
5,b,0,d,6,0,1,0,0,Q29
5,b,75,b,71,0,0,0,0,Q16
5,c,0,b,6,0,0,1,0,Q23
5,c,0,d,6,0,0,1,0,Q25
5,c,72,c,65,0,0,0,0,Q17
5,d,0,b,6,0,0,0,1,Q19
5,d,0,d,6,0,0,0,1,Q20
5,d,75,d,71,0,0,0,0,Q18
6,a,4,c,13,1,0,0,0,Q34
6,b,1,d,7,0,1,0,0,Q29
6,b,80,b,80,0,0,0,0,Q16
6,d,75,d,70,0,0,0,0,Q18
6,d,84,a,3,0,0,0,-1,Q12
7,a,2,d,8,1,0,0,0,Q35
7,a,78,d,75,-1,0,0,1,Q03
7,b,80,c,79,0,-1,1,0,Q08
7,b,81,b,81,0,0,0,0,Q16
7,d,84,b,2,0,0,0,-1,Q13
8,a,0,b,3,1,0,0,0,Q33
8,b,0,b,3,0,1,0,0,Q28
8,b,82,b,82,0,0,0,0,Q16
8,c,0,b,3,0,0,1,0,Q23
8,c,75,c,68,0,0,0,0,Q17
8,d,0,b,3,0,0,0,1,Q19
9,b,83,b,83,0,0,0,0,Q16
9,b,83,d,83,0,-1,0,1,Q07
9,d,83,b,83,0,1,0,-1,Q27
9,d,83,d,83,0,0,0,0,Q18
10,a,0,b,1,1,0,0,0,Q33
10,a,78,a,72,0,0,0,0,Q15
10,a,79,d,74,-1,0,0,1,Q03
10,b,0,b,1,0,1,0,0,Q28
10,b,84,b,84,0,0,0,0,Q16
10,c,0,b,1,0,0,1,0,Q23
10,d,0,b,1,0,0,0,1,Q19
10,d,80,c,76,0,0,1,-1,Q21
