Depth | Left-Len | Q0 (Literal) | Q1 (Parikh Traj) | Q2 (Obstruction) | Q3 (Full Scale)
--------------------------------------------------------------------------------------
    2 |        1 |            1 |                1 |                1 |               1
    4 |        2 |            3 |                3 |                3 |               3
    6 |        3 |            3 |                3 |                3 |               3
    8 |        4 |            2 |                2 |                2 |               2
   10 |        5 |            1 |                1 |                1 |               1
   12 |        6 |            1 |                1 |                1 |               1
   14 |        7 |            1 |                1 |                1 |               1
   16 |        8 |            1 |                1 |                1 |               1
   18 |        9 |            1 |                1 |                1 |               1
   20 |       10 |            2 |                2 |                2 |               2
   22 |       11 |            3 |                3 |                3 |               3
   24 |       12 |            2 |                2 |                2 |               2
   26 |       13 |            1 |                1 |                1 |               1
   28 |       14 |            1 |                1 |                1 |               1
   30 |       15 |            2 |                2 |                2 |               2
   32 |       16 |            4 |                4 |                4 |               4
   34 |       17 |            2 |                1 |                1 |               1
   36 |       18 |            2 |                1 |                1 |               2
   38 |       19 |            5 |                5 |                4 |               4
   40 |       20 |            4 |                2 |                1 |               3
   42 |       21 |            6 |                6 |                3 |               3
   44 |       22 |           16 |                6 |                6 |              11
   46 |       23 |           14 |                8 |                7 |               9
   48 |       24 |            9 |                8 |                5 |               7
   50 |       25 |            6 |                6 |                4 |               4
   52 |       26 |            7 |                4 |                4 |               4
   54 |       27 |            8 |                4 |                4 |               5
   56 |       28 |           10 |                8 |                3 |               6
   58 |       29 |           10 |                7 |                7 |               7
   60 |       30 |            7 |                4 |                4 |               6
   62 |       31 |           11 |                7 |                7 |               8
   64 |       32 |           12 |                8 |                6 |               8
   66 |       33 |            9 |                5 |                5 |               5
   68 |       34 |            6 |                4 |                4 |               6
   70 |       35 |            4 |                3 |                3 |               3
   72 |       36 |            4 |                4 |                4 |               4
   74 |       37 |            4 |                3 |                3 |               3
   76 |       38 |            1 |                1 |                1 |               1
   78 |       39 |            1 |                1 |                1 |               1
   80 |       40 |            2 |                2 |                2 |               2
   82 |       41 |            1 |                1 |                1 |               1
   84 |       42 |            1 |                1 |                1 |               1
   86 |       43 |            2 |                2 |                2 |               2
   88 |       44 |            2 |                2 |                2 |               2
   90 |       45 |            2 |                2 |                2 |               2
   92 |       46 |            4 |                3 |                3 |               3
   94 |       47 |            2 |                1 |                1 |               1
   96 |       48 |            0 |                0 |                0 |               0
