familyId,rho,numSignatures,minRsig,maxRsig,avgRsig,totalRF,overlapRatio
1,"0,0,8",1,1,1,1.00,1,1.00
1,"0,1,7",1,1,1,1.00,1,1.00
1,"0,2,6",1,1,1,1.00,1,1.00
1,"0,3,5",1,1,1,1.00,1,1.00
1,"0,4,4",1,1,1,1.00,1,1.00
1,"0,5,3",1,1,1,1.00,1,1.00
1,"0,6,2",1,1,1,1.00,1,1.00
1,"0,7,1",1,1,1,1.00,1,1.00
1,"0,8,0",1,1,1,1.00,1,1.00
1,"1,0,7",1,1,1,1.00,1,1.00
1,"1,1,6",1,1,1,1.00,1,1.00
1,"1,2,5",1,1,1,1.00,1,1.00
1,"1,3,4",1,1,1,1.00,1,1.00
1,"1,4,3",1,1,1,1.00,1,1.00
1,"1,5,2",1,1,1,1.00,1,1.00
1,"1,6,1",1,1,1,1.00,1,1.00
1,"1,7,0",1,1,1,1.00,1,1.00
1,"2,0,6",1,1,1,1.00,1,1.00
1,"2,1,5",1,1,1,1.00,1,1.00
1,"2,2,4",1,1,1,1.00,1,1.00
1,"2,3,3",1,1,1,1.00,1,1.00
1,"2,4,2",1,1,1,1.00,1,1.00
1,"2,5,1",1,1,1,1.00,1,1.00
1,"2,6,0",1,1,1,1.00,1,1.00
1,"3,0,5",1,1,1,1.00,1,1.00
1,"3,1,4",1,1,1,1.00,1,1.00
1,"3,2,3",1,1,1,1.00,1,1.00
1,"3,3,2",1,1,1,1.00,1,1.00
1,"3,4,1",1,1,1,1.00,1,1.00
1,"3,5,0",1,1,1,1.00,1,1.00
1,"4,0,4",1,1,1,1.00,1,1.00
1,"4,1,3",1,1,1,1.00,1,1.00
1,"4,2,2",1,1,1,1.00,1,1.00
1,"4,3,1",1,1,1,1.00,1,1.00
1,"4,4,0",1,1,1,1.00,1,1.00
1,"5,0,3",1,1,1,1.00,1,1.00
1,"5,1,2",1,1,1,1.00,1,1.00
1,"5,2,1",1,1,1,1.00,1,1.00
1,"5,3,0",1,1,1,1.00,1,1.00
1,"6,0,2",1,1,1,1.00,1,1.00
1,"6,1,1",1,1,1,1.00,1,1.00
1,"6,2,0",1,1,1,1.00,1,1.00
1,"7,0,1",1,1,1,1.00,1,1.00
1,"7,1,0",1,1,1,1.00,1,1.00
1,"8,0,0",1,1,1,1.00,1,1.00
2,"0,0,8",6,1,1,1.00,1,6.00
2,"0,1,7",6,3,3,3.00,3,6.00
2,"0,2,6",6,5,5,5.00,5,6.00
2,"0,3,5",6,5,7,5.67,7,4.86
2,"0,4,4",6,5,7,5.67,7,4.86
2,"0,5,3",6,5,7,5.67,7,4.86
2,"0,6,2",6,5,5,5.00,5,6.00
2,"0,7,1",6,3,3,3.00,3,6.00
2,"0,8,0",6,1,1,1.00,1,6.00
2,"1,0,7",6,3,3,3.00,3,6.00
2,"1,1,6",6,9,9,9.00,9,6.00
2,"1,2,5",6,13,15,13.67,15,5.47
2,"1,3,4",6,13,19,15.00,19,4.74
2,"1,4,3",6,13,19,15.00,19,4.74
2,"1,5,2",6,13,15,13.67,15,5.47
2,"1,6,1",6,9,9,9.00,9,6.00
2,"1,7,0",6,3,3,3.00,3,6.00
2,"2,0,6",6,5,5,5.00,5,6.00
2,"2,1,5",6,13,15,13.67,15,5.47
2,"2,2,4",6,19,23,20.33,23,5.30
2,"2,3,3",6,19,29,22.33,29,4.62
2,"2,4,2",6,19,23,20.33,23,5.30
2,"2,5,1",6,13,15,13.67,15,5.47
2,"2,6,0",6,5,5,5.00,5,6.00
2,"3,0,5",6,5,7,5.67,7,4.86
2,"3,1,4",6,13,19,15.00,19,4.74
2,"3,2,3",6,19,29,22.33,29,4.62
2,"3,3,2",6,19,29,22.33,29,4.62
2,"3,4,1",6,13,19,15.00,19,4.74
2,"3,5,0",6,5,7,5.67,7,4.86
2,"4,0,4",6,5,7,5.67,7,4.86
2,"4,1,3",6,13,19,15.00,19,4.74
2,"4,2,2",6,19,23,20.33,23,5.30
2,"4,3,1",6,13,19,15.00,19,4.74
2,"4,4,0",6,5,7,5.67,7,4.86
2,"5,0,3",6,5,7,5.67,7,4.86
2,"5,1,2",6,13,15,13.67,15,5.47
2,"5,2,1",6,13,15,13.67,15,5.47
2,"5,3,0",6,5,7,5.67,7,4.86
2,"6,0,2",6,5,5,5.00,5,6.00
2,"6,1,1",6,9,9,9.00,9,6.00
2,"6,2,0",6,5,5,5.00,5,6.00
2,"7,0,1",6,3,3,3.00,3,6.00
2,"7,1,0",6,3,3,3.00,3,6.00
2,"8,0,0",6,1,1,1.00,1,6.00
3,"0,0,8",7,1,1,1.00,7,1.00
3,"0,1,7",7,1,2,1.86,13,1.00
3,"0,2,6",7,1,3,2.57,18,1.00
3,"0,3,5",7,1,4,3.00,21,1.00
3,"0,4,4",7,1,5,3.14,22,1.00
3,"0,5,3",7,1,4,3.00,21,1.00
3,"0,6,2",7,1,3,2.57,18,1.00
3,"0,7,1",7,1,2,1.86,13,1.00
3,"0,8,0",7,1,1,1.00,7,1.00
3,"1,0,7",7,1,2,1.86,13,1.00
3,"1,1,6",7,1,4,3.43,24,1.00
3,"1,2,5",7,1,6,4.57,32,1.00
3,"1,3,4",7,1,8,5.14,36,1.00
3,"1,4,3",7,1,8,5.14,36,1.00
3,"1,5,2",7,1,6,4.57,32,1.00
3,"1,6,1",7,1,4,3.43,24,1.00
3,"1,7,0",7,1,2,1.86,13,1.00
3,"2,0,6",7,1,3,2.57,18,1.00
3,"2,1,5",7,1,6,4.57,32,1.00
3,"2,2,4",7,1,9,5.86,41,1.00
3,"2,3,3",7,1,10,6.29,44,1.00
3,"2,4,2",7,1,9,5.86,41,1.00
3,"2,5,1",7,1,6,4.57,32,1.00
3,"2,6,0",7,1,3,2.57,18,1.00
3,"3,0,5",7,1,4,3.00,21,1.00
3,"3,1,4",7,1,8,5.14,36,1.00
3,"3,2,3",7,1,10,6.29,44,1.00
3,"3,3,2",7,1,10,6.29,44,1.00
3,"3,4,1",7,1,8,5.14,36,1.00
3,"3,5,0",7,1,4,3.00,21,1.00
3,"4,0,4",7,1,5,3.14,22,1.00
3,"4,1,3",7,1,8,5.14,36,1.00
3,"4,2,2",7,1,9,5.86,41,1.00
3,"4,3,1",7,1,8,5.14,36,1.00
3,"4,4,0",7,1,5,3.14,22,1.00
3,"5,0,3",7,1,4,3.00,21,1.00
3,"5,1,2",7,1,6,4.57,32,1.00
3,"5,2,1",7,1,6,4.57,32,1.00
3,"5,3,0",7,1,4,3.00,21,1.00
3,"6,0,2",7,1,3,2.57,18,1.00
3,"6,1,1",7,1,4,3.43,24,1.00
3,"6,2,0",7,1,3,2.57,18,1.00
3,"7,0,1",7,1,2,1.86,13,1.00
3,"7,1,0",7,1,2,1.86,13,1.00
3,"8,0,0",7,1,1,1.00,7,1.00
4,"0,0,8",15,1,1,1.00,7,2.14
4,"0,1,7",15,2,3,2.73,20,2.05
4,"0,2,6",15,2,5,4.07,31,1.97
4,"0,3,5",15,2,7,4.87,38,1.92
4,"0,4,4",15,2,8,5.13,41,1.88
4,"0,5,3",15,2,7,4.87,38,1.92
4,"0,6,2",15,2,5,4.07,31,1.97
4,"0,7,1",15,2,3,2.73,20,2.05
4,"0,8,0",15,1,1,1.00,7,2.14
4,"1,0,7",15,2,3,2.73,20,2.05
4,"1,1,6",15,3,9,7.07,55,1.93
4,"1,2,5",15,3,15,10.13,82,1.85
4,"1,3,4",15,3,19,11.67,97,1.80
4,"1,4,3",15,3,19,11.67,97,1.80
4,"1,5,2",15,3,15,10.13,82,1.85
4,"1,6,1",15,3,9,7.07,55,1.93
4,"1,7,0",15,2,3,2.73,20,2.05
4,"2,0,6",15,2,5,4.07,31,1.97
4,"2,1,5",15,3,15,10.13,82,1.85
4,"2,2,4",15,3,23,14.00,117,1.79
4,"2,3,3",15,3,29,15.33,129,1.78
4,"2,4,2",15,3,23,14.00,117,1.79
4,"2,5,1",15,3,15,10.13,82,1.85
4,"2,6,0",15,2,5,4.07,31,1.97
4,"3,0,5",15,2,7,4.87,38,1.92
4,"3,1,4",15,3,19,11.67,97,1.80
