K,start_idx,u,domain,chi,sig_str,t_norm,t_max_abs,rs_size,rs_coord_radius,safe_elision,danger_zone
2,0,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,1,0,Zs,000,E,2.83,2,1,0,1,0
2,2,0,Zs,000,E,1.41,1,1,0,1,0
2,3,0,Zs,000,E,2.45,2,1,0,1,0
2,4,0,Zs,000,E,1.41,1,1,0,1,0
2,5,0,Zs,000,E,2.45,2,1,0,1,0
2,6,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,7,0,Zs,000,E,2.45,2,1,0,1,0
2,8,0,Zs,000,E,1.41,1,1,0,1,0
2,9,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,10,0,Zs,000,E,1.41,1,1,0,1,0
2,11,0,Zs,000,E,2.45,2,1,0,1,0
2,12,0,Zs,000,E,2.45,2,1,0,1,0
2,13,0,Zs,000,E,1.41,1,1,0,1,0
2,14,0,Zs,000,E,2.83,2,1,0,1,0
2,15,0,Zs,000,E,2.45,2,1,0,1,0
2,16,0,Zs,000,E,2.83,2,1,0,1,0
2,17,0,Zs,000,E,1.41,1,1,0,1,0
2,18,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,19,0,Zs,000,E,2.83,2,1,0,1,0
2,20,0,Zs,000,E,1.41,1,1,0,1,0
2,21,0,Zs,000,E,2.45,2,1,0,1,0
2,22,0,Zs,000,E,2.83,2,1,0,1,0
2,23,0,Zs,000,E,1.41,1,1,0,1,0
2,24,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,25,0,Zs,000,E,2.45,2,1,0,1,0
2,26,0,Zs,000,E,1.41,1,1,0,1,0
2,27,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,28,0,Zs,000,E,2.83,2,1,0,1,0
2,29,0,Zs,000,E,1.41,1,1,0,1,0
2,30,0,Zs,000,E,2.45,2,1,0,1,0
2,31,0,Zs,000,E,1.41,1,1,0,1,0
2,32,0,Zs,000,E,2.83,2,1,0,1,0
2,33,0,Zs,000,E,2.45,2,1,0,1,0
2,34,0,Zs,000,E,2.83,2,1,0,1,0
2,35,0,Zs,000,E,1.41,1,1,0,1,0
2,36,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,37,0,Zs,000,E,1.41,1,1,0,1,0
2,38,0,Zs,000,E,2.45,2,1,0,1,0
2,39,0,Zs,000,E,2.45,2,1,0,1,0
2,40,0,Zs,000,E,1.41,1,1,0,1,0
2,41,0,Zs,000,E,2.83,2,1,0,1,0
2,42,0,Zs,000,E,2.45,2,1,0,1,0
2,43,0,Zs,000,E,1.41,1,1,0,1,0
2,44,0,Zs,000,E,2.45,2,1,0,1,0
2,45,0,Zs,111,2:-2|4:1,0.00,0,11,2,0,1
2,46,0,Zs,000,E,1.41,1,1,0,1,0
2,47,0,Zs,000,E,2.45,2,1,0,1,0
2,48,0,Zs,000,E,2.45,2,1,0,1,0
2,49,0,Zs,000,E,1.41,1,1,0,1,0
2,0,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
2,1,1,Pt,000,E,1.41,1,1,0,1,0
2,2,1,Pt,000,E,1.41,1,1,0,1,0
2,3,1,Pt,000,E,0.00,0,1,0,0,1
2,4,1,Pt,000,E,2.45,2,1,0,1,0
2,5,1,Pt,001,E,1.41,1,1,0,1,0
2,6,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
2,7,1,Pt,000,E,1.41,1,1,0,1,0
2,8,1,Pt,001,E,1.41,1,1,0,1,0
2,9,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
2,10,1,Pt,000,E,2.45,2,1,0,1,0
2,11,1,Pt,000,E,1.41,1,1,0,1,0
2,12,1,Pt,000,E,0.00,0,1,0,0,1
2,13,1,Pt,000,E,2.45,2,1,0,1,0
2,14,1,Pt,000,E,1.41,1,1,0,1,0
2,15,1,Pt,000,E,0.00,0,1,0,0,1
2,16,1,Pt,000,E,1.41,1,1,0,1,0
2,17,1,Pt,001,E,1.41,1,1,0,1,0
2,18,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
2,19,1,Pt,000,E,1.41,1,1,0,1,0
2,20,1,Pt,000,E,1.41,1,1,0,1,0
2,21,1,Pt,000,E,0.00,0,1,0,0,1
2,22,1,Pt,000,E,1.41,1,1,0,1,0
2,23,1,Pt,001,E,1.41,1,1,0,1,0
2,24,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
2,25,1,Pt,000,E,1.41,1,1,0,1,0
2,26,1,Pt,001,E,1.41,1,1,0,1,0
2,27,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
2,28,1,Pt,000,E,1.41,1,1,0,1,0
2,29,1,Pt,000,E,1.41,1,1,0,1,0
2,30,1,Pt,000,E,0.00,0,1,0,0,1
2,31,1,Pt,000,E,2.45,2,1,0,1,0
2,32,1,Pt,000,E,1.41,1,1,0,1,0
2,33,1,Pt,000,E,0.00,0,1,0,0,1
2,34,1,Pt,000,E,1.41,1,1,0,1,0
2,35,1,Pt,001,E,1.41,1,1,0,1,0
2,36,1,Pt,110,1:1|3:-2,3.00,2,11,4,0,1
